"","count.P"
"1568286_at",85
"1568574_x_at",80
"1568589_at",84
"1568604_a_at",85
"1568616_a_at",69
"1568623_a_at",67
"1568647_at",71
"1568663_a_at",80
"1568675_at",84
"1568690_a_at",68
"1568695_s_at",85
"1568755_a_at",81
"1568768_s_at",83
"1568770_at",81
"1568777_at",83
"1568779_a_at",70
"1568812_at",64
"1568840_at",79
"1568845_at",78
"1568850_at",71
"1568904_at",85
"1568922_at",85
"1569065_s_at",80
"1569067_at",80
"1569069_s_at",77
"1569077_x_at",77
"1569078_at",84
"1569089_a_at",85
"1569090_x_at",85
"1569100_a_at",71
"1569128_at",84
"1569146_s_at",80
"1569147_at",77
"1569262_x_at",85
"1569322_at",84
"1569352_at",79
"1569354_at",76
"1569466_at",74
"1569746_s_at",85
"1569770_x_at",83
"1569805_at",83
"1569996_at",80
"1570001_at",80
"1570127_at",85
"1570135_at",71
"1570160_at",80
"1570182_at",75
"1570196_at",85
"1570244_at",85
"1570266_x_at",76
"1570281_at",85
"1570306_at",85
"1570383_at",85
"1570425_s_at",70
"1570517_at",85
"200004_at",84
"200032_s_at",85
"200036_s_at",79
"200051_at",85
"200067_x_at",65
"200086_s_at",70
"200092_s_at",66
"200613_at",85
"200642_at",85
"200670_at",85
"200723_s_at",83
"200724_at",85
"200726_at",85
"200823_x_at",85
"200848_at",85
"200898_s_at",84
"200903_s_at",78
"200917_s_at",75
"200958_s_at",85
"200968_s_at",84
"200987_x_at",85
"201009_s_at",84
"201028_s_at",85
"201040_at",83
"201056_at",85
"201082_s_at",74
"201084_s_at",84
"201094_at",71
"201115_at",85
"201123_s_at",85
"201126_s_at",78
"201127_s_at",85
"201128_s_at",82
"201129_at",85
"201130_s_at",85
"201239_s_at",85
"201332_s_at",85
"201375_s_at",85
"201404_x_at",75
"201407_s_at",85
"201467_s_at",69
"201474_s_at",85
"201478_s_at",78
"201507_at",85
"201529_s_at",85
"201547_at",81
"201548_s_at",69
"201560_at",85
"201614_s_at",82
"201618_x_at",85
"201627_s_at",64
"201646_at",85
"201679_at",78
"201682_at",85
"201698_s_at",85
"201710_at",82
"201712_s_at",78
"201713_s_at",76
"201724_s_at",85
"201728_s_at",85
"201733_at",71
"201734_at",85
"201746_at",72
"201750_s_at",82
"201758_at",80
"201759_at",82
"201761_at",75
"201763_s_at",85
"201768_s_at",85
"201771_at",75
"201777_s_at",85
"201781_s_at",64
"201794_s_at",74
"201796_s_at",85
"201862_s_at",85
"201912_s_at",82
"201922_at",74
"201928_at",85
"201929_s_at",81
"201930_at",84
"201936_s_at",85
"201937_s_at",82
"201939_at",69
"201940_at",85
"201941_at",85
"201942_s_at",84
"201943_s_at",85
"201944_at",85
"201946_s_at",81
"201947_s_at",85
"201957_at",85
"201961_s_at",84
"201962_s_at",76
"201963_at",75
"201967_at",73
"201968_s_at",85
"201969_at",85
"201970_s_at",85
"201972_at",85
"201974_s_at",74
"201976_s_at",82
"201978_s_at",85
"201983_s_at",85
"201984_s_at",85
"201985_at",85
"201987_at",82
"201994_at",74
"201995_at",85
"201997_s_at",85
"201999_s_at",85
"202037_s_at",79
"202038_at",85
"202040_s_at",74
"202041_s_at",85
"202042_at",85
"202062_s_at",68
"202069_s_at",82
"202070_s_at",85
"202076_at",78
"202081_at",85
"202084_s_at",83
"202098_s_at",85
"202123_s_at",79
"202129_s_at",85
"202136_at",81
"202154_x_at",68
"202162_s_at",85
"202184_s_at",84
"202186_x_at",72
"202189_x_at",84
"202190_at",85
"202191_s_at",70
"202194_at",84
"202198_s_at",77
"202202_s_at",65
"202204_s_at",85
"202214_s_at",82
"202220_at",79
"202225_at",74
"202226_s_at",85
"202228_s_at",70
"202229_s_at",74
"202230_s_at",66
"202232_s_at",85
"202253_s_at",85
"202262_x_at",76
"202264_s_at",85
"202265_at",83
"202269_x_at",85
"202272_s_at",85
"202283_at",85
"202295_s_at",71
"202304_at",68
"202318_s_at",81
"202350_s_at",84
"202359_s_at",74
"202361_at",85
"202370_s_at",73
"202384_s_at",85
"202385_s_at",83
"202389_s_at",85
"202395_at",84
"202408_s_at",68
"202410_x_at",73
"202421_at",74
"202424_at",85
"202431_s_at",85
"202452_at",85
"202453_s_at",85
"202459_s_at",79
"202462_s_at",65
"202468_s_at",65
"202496_at",80
"202504_at",76
"202507_s_at",84
"202517_at",85
"202535_at",85
"202558_s_at",79
"202559_x_at",84
"202564_x_at",84
"202576_s_at",85
"202579_x_at",85
"202580_x_at",78
"202593_s_at",66
"202598_at",84
"202603_at",64
"202608_s_at",85
"202614_at",74
"202624_s_at",85
"202634_at",84
"202637_s_at",85
"202641_at",84
"202659_at",85
"202665_s_at",77
"202714_s_at",78
"202716_at",73
"202723_s_at",79
"202732_at",85
"202762_at",82
"202763_at",75
"202772_at",77
"202780_at",84
"202786_at",85
"202788_at",85
"202802_at",64
"202823_at",84
"202840_at",77
"202849_x_at",84
"202851_at",85
"202854_at",85
"202856_s_at",75
"202860_at",85
"202866_at",85
"202881_x_at",74
"202900_s_at",67
"202924_s_at",73
"202929_s_at",85
"202962_at",85
"202966_at",65
"202977_s_at",68
"202983_at",85
"203000_at",73
"203006_at",85
"203024_s_at",67
"203032_s_at",85
"203042_at",85
"203043_at",85
"203075_at",85
"203079_s_at",85
"203081_at",64
"203088_at",74
"203096_s_at",85
"203097_s_at",77
"203125_x_at",82
"203129_s_at",69
"203147_s_at",85
"203152_at",71
"203154_s_at",83
"203182_s_at",85
"203209_at",85
"203270_at",77
"203308_x_at",81
"203313_s_at",75
"203342_at",85
"203351_s_at",85
"203355_s_at",84
"203361_s_at",85
"203372_s_at",85
"203394_s_at",81
"203399_x_at",85
"203409_at",85
"203448_s_at",85
"203471_s_at",85
"203472_s_at",85
"203486_s_at",81
"203502_at",85
"203505_at",70
"203508_at",84
"203526_s_at",76
"203530_s_at",67
"203540_at",80
"203559_s_at",85
"203569_s_at",84
"203577_at",85
"203581_at",85
"203582_s_at",85
"203606_at",85
"203608_at",85
"203613_s_at",85
"203640_at",85
"203649_s_at",84
"203681_at",85
"203693_s_at",85
"203696_s_at",85
"203720_s_at",85
"203729_at",85
"203732_at",85
"203756_at",73
"203792_x_at",72
"203795_s_at",85
"203819_s_at",73
"203822_s_at",85
"203854_at",85
"203858_s_at",85
"203861_s_at",85
"203866_at",82
"203875_at",85
"203883_s_at",85
"203884_s_at",85
"203904_x_at",85
"203925_at",85
"203932_at",78
"203934_at",85
"203962_s_at",85
"203973_s_at",67
"203996_s_at",85
"204009_s_at",77
"204016_at",85
"204028_s_at",83
"204032_at",85
"204035_at",79
"204136_at",85
"204143_s_at",83
"204160_s_at",83
"204204_at",68
"204240_s_at",79
"204264_at",85
"204273_at",77
"204281_at",85
"204310_s_at",83
"204316_at",83
