"","count.P"
"1553943_at",124
"1553962_s_at",115
"1553967_at",109
"1553977_a_at",99
"1553993_s_at",130
"1553994_at",119
"1553995_a_at",127
"1553998_at",130
"1554001_at",125
"1554004_a_at",120
"1554010_at",130
"1554034_a_at",111
"1554039_at",120
"1554076_s_at",124
"1554082_a_at",107
"1554095_at",120
"1554098_at",108
"1554099_a_at",128
"1554101_a_at",100
"1554102_a_at",109
"1554119_at",105
"1554121_at",110
"1554122_a_at",130
"1554127_s_at",130
"1554131_at",130
"1554158_at",126
"1554159_a_at",113
"1554167_a_at",127
"1554170_a_at",130
"1554194_at",122
"1554205_s_at",130
"1554212_s_at",118
"1554231_a_at",129
"1554249_a_at",114
"1554250_s_at",102
"1554258_a_at",108
"1554260_a_at",98
"1554273_a_at",129
"1554276_at",121
"1554283_at",130
"1554298_a_at",130
"1554308_s_at",128
"1554312_at",129
"1554316_at",130
"1554327_a_at",114
"1554355_a_at",128
"1554360_at",104
"1554377_a_at",128
"1554382_at",130
"1554394_at",129
"1554397_s_at",111
"1554398_at",111
"1554419_x_at",108
"1554423_a_at",104
"1554430_at",125
"1554432_x_at",130
"1554438_at",98
"1554456_a_at",130
"1554460_at",130
"1554462_a_at",130
"1554469_at",121
"1554482_a_at",128
"1554488_at",114
"1554494_at",130
"1554506_x_at",130
"1554516_at",123
"1554566_at",107
"1554568_at",100
"1554569_a_at",129
"1554578_at",110
"1554583_a_at",112
"1554586_a_at",130
"1554613_a_at",130
"1554623_x_at",124
"1554643_at",108
"1554659_at",121
"1554675_a_at",129
"1554678_s_at",130
"1554696_s_at",127
"1554726_at",112
"1554771_at",129
"1554774_at",117
"1554777_at",130
"1554786_at",117
"1554787_at",116
"1554789_a_at",130
"1554798_at",117
"1554830_a_at",112
"1554862_at",129
"1554863_s_at",107
"1554864_a_at",122
"1554866_at",125
"1554871_at",128
"1554895_a_at",129
"1554911_at",123
"1554919_s_at",101
"1554920_at",130
"1554922_at",100
"1554932_at",127
"1554947_at",109
"1554958_at",129
"1554964_x_at",122
"1555034_at",130
"1555052_a_at",129
"1555053_at",114
"1555106_a_at",106
"1555141_a_at",121
"1555194_at",126
"1555241_at",126
"1555252_a_at",122
"1555267_at",114
"1555281_x_at",116
"1555322_at",125
"1555325_s_at",130
"1555384_a_at",130
"1555409_a_at",115
"1555420_a_at",125
"1555439_at",129
"1555450_a_at",124
"1555523_a_at",129
"1555572_at",117
"1555601_at",102
"1555611_s_at",107
"1555653_at",109
"1555708_a_at",121
"1555728_a_at",123
"1555729_a_at",115
"1555759_a_at",129
"1555780_a_at",115
"1555827_at",130
"1555855_at",130
"1555963_x_at",130
"1555972_s_at",130
"1555994_at",102
"1555997_s_at",123
"1556001_at",121
"1556007_s_at",101
"1556065_at",121
"1556253_s_at",106
"1556284_at",128
"1556378_a_at",110
"1556381_at",125
"1556382_a_at",124
"1556397_at",114
"1556467_at",123
"1556473_at",128
"1556489_at",130
"1556521_a_at",127
"1556536_at",124
"1556580_a_at",111
"1556584_at",114
"1556633_at",129
"1556665_at",128
"1556706_at",104
"1556757_a_at",128
"1556770_a_at",123
"1556815_at",129
"1556821_x_at",130
"1556947_at",130
"1557029_at",124
"1557197_a_at",111
"1557309_at",121
"1557380_at",126
"1557383_a_at",113
"1557400_at",122
"1557402_at",130
"1557417_s_at",104
"1557431_at",100
"1557513_a_at",130
"1557517_a_at",122
"1557567_a_at",130
